question,cleaned_question,answer,cleaned_answer
Які ЗНО необхідно здати для вступу до Державного університету телекомунікацій?,ЗНО для вступу,Повний перелік необхідних для вступу ЗНО Ви можете знайти на сторінці: http://www.dut.edu.ua/ua/pages/373,Повний перелік необхідних для вступу ЗНО Ви можете знайти на сторінці
З якими балами можна вступити до Державного Університету Телекомунікацій?,прохідний бал для вступу,Прохідний бал – 100,Прохідний бал – 100
Які спеціальності є у вашому ВУЗі?,перелік спеціальностей для вступу,Повний перелік спеціальностей Ви можете знайти на сторінці: http://www.dut.edu.ua/ua/pages/1327,Повний перелік спеціальностей Ви можете знайти на сторінці
Де я зможу працювати після закінчення університету?,робота після університету,Детальну інформацію про працевлаштування після закінчення університету Ви можете знайти за посиланням: http://www.dut.edu.ua/ua/pages/148,Детальну інформацію про працевлаштування після закінчення університету Ви можете знайти за посиланням
Як проходить студенське життя?,студентське життя,Відповідь на запитання Ви можете знайти у розділі Студентське життя: http://www.dut.edu.ua/ua/pages/6,Відповідь на запитання Ви можете знайти у розділі Студентське життя
Чи є в університеті підготовче відділення?,підготовче відділення,"Так, в університеті є підготовче відділення. Детальніше: http://www.dut.edu.ua/ua/pages/459","Так, в університеті є підготовче відділення"
Коли проводиться день відкритих дверей в університеті?,День відкритих дверей,День відкритих дверей проводиться кожної п’ятниці об 16:00 у актовій залі. Детальніше: http://www.dut.edu.ua/ua/pages/453,День відкритих дверей проводиться кожної п’ятниці об 16:00 у актовій залі
Чи можливе в університеті проходження військової кафедри?,військова кафедра,Згідно з Постановою Кабінету міністрів України від 10 березня 2017 р. № 133 у Державному університеті телекомунікацій утворена кафедра військової підготовки.,Згідно з Постановою Кабінету міністрів України від 10 березня 2017 р. № 133 у Державному університеті телекомунікацій утворена кафедра військової підготовки.
Де я можу дізнатись про кількість бюджетних місць для вступу?,кількість бюджетних місць для вступу,Детальну інформацію про кількість місць державного замовлення в університеті Ви можете знайти за посиланням: http://www.dut.edu.ua/ua/1663-derzhavne-zamovlennya-priymalna-komisiya,Детальну інформацію про кількість місць державного замовлення в університеті Ви можете знайти за посиланням
Який перелік документів необхідний для вступу в університет?,перелік документів для вступу,Повний перелік необхідних документів для вступу в університет Ви можете знайти на сторінці: http://www.dut.edu.ua/ua/937-poryadok-diy-abiturienta-dlya-vstupu-na-navchannya-do-dut-priymalna-komisiya,Повний перелік необхідних документів для вступу в університет Ви можете знайти на сторінці